"BoM ID / Header ID","Product SKU / Style ID","Product Description","Style Number","Fit / Cut","Fabric Base (Header)","Color / Wash Name","Size Range Covered","BoM Revision Number","Effective Date (From)","Effective Date (To)","Status (Header)","Revision Reason","Created By (Header)","Creation Date (Header)","Approved By (Header)","Approval Date (Header)","Related Documents","Notes (Header Level)","Line Number","Level","Component SKU / Item Code","Description (Component)","Specification / Details (Component)","Usage Location(s)","Unit of Measure (Usage)","Quantity per Unit (Net)","Loss / Scrap Method","Loss / Scrap Value","Calculated Required Qty (Gross)","Component Status (BoM Specific)","Sequence / Assembly Step","Notes (Line Item)"
"JEANS-STR-MEDW-005-REVB","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","B","2025-01-10","2025-03-31","Obsolete","Standard annual BoM update, initial for 2025.","Production Team","2025-01-08","Head of Merchandising","2025-01-10","[Links...]","Used for production orders scheduled Jan 10 - Mar 31, 2025.","010","2","FAB-DENIM-A-010","13oz Cone Mill Denim","100% Cotton, 3x1 RHT, 34"" Width, Indigo, Sanforized","Body, Legs, Pockets, Waistband","YDS","1.95","Percentage","12","2.184","Required","Cut-01","Avg marker usage for size run + standard waste"
"JEANS-STR-MEDW-005-REVB","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","B","2025-01-10","2025-03-31","Obsolete","Standard annual BoM update, initial for 2025.","Production Team","2025-01-08","Head of Merchandising","2025-01-10","[Links...]","Used for production orders scheduled Jan 10 - Mar 31, 2025.","020","2","THD-SPUN-NAVY","Navy Spun Poly Thread","Tex 30, 100% Spun Poly, 6000 Yds/Cone, Color Match: Pantone 19-4010 TPX","All Seams","YDS","140","Percentage","3","144.200","Required","Various","Seaming thread"
"JEANS-STR-MEDW-005-REVB","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","B","2025-01-10","2025-03-31","Obsolete","Standard annual BoM update, initial for 2025.","Production Team","2025-01-08","Head of Merchandising","2025-01-10","[Links...]","Used for production orders scheduled Jan 10 - Mar 31, 2025.","030","2","THD-TST-TAN","Tan Topstitch Thread","Tex 60, 3000 Yds/Cone, Color Match: Pantone 16-1342 TPX","Topstitching, Details","YDS","70","Percentage","4","72.800","Required","Various","Decorative/Topstitching"
"JEANS-STR-MEDW-005-REVB","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","B","2025-01-10","2025-03-31","Obsolete","Standard annual BoM update, initial for 2025.","Production Team","2025-01-08","Head of Merchandising","2025-01-10","[Links...]","Used for production orders scheduled Jan 10 - Mar 31, 2025.","040","2","INL-WST-POLY","Waistband Interlining","Woven Fusible, 2.25"" Width, 100% Poly","Waistband","YDS","0.95","Percentage","6","1.007","Required","Sew-15","Provides waistband stability"
"JEANS-STR-MEDW-005-REVB","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","B","2025-01-10","2025-03-31","Obsolete","Standard annual BoM update, initial for 2025.","Production Team","2025-01-08","Head of Merchandising","2025-01-10","[Links...]","Used for production orders scheduled Jan 10 - Mar 31, 2025.","050","2","ZIP-AUTO-ANTBR","Auto-Lock Metal Zipper","Antique Brass Finish, 7"" Length, YKK Equivalent","Fly","PCS","1.00","Percentage","1","1.010","Required","Sew-05","Standard length for zip fly, incl. spares"
"JEANS-STR-MEDW-005-REVB","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","B","2025-01-10","2025-03-31","Obsolete","Standard annual BoM update, initial for 2025.","Production Team","2025-01-08","Head of Merchandising","2025-01-10","[Links...]","Used for production orders scheduled Jan 10 - Mar 31, 2025.","060","2","BTN-POST-ANTBR","Post Button (Waist)","Antique Brass Finish, 18mm Diameter, Plain","Waistband","PCS","1.00","Percentage","2","1.020","Required","Sew-20","Main waistband closure, incl. spares"
"JEANS-STR-MEDW-005-REVB","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","B","2025-01-10","2025-03-31","Obsolete","Standard annual BoM update, initial for 2025.","Production Team","2025-01-08","Head of Merchandising","2025-01-10","[Links...]","Used for production orders scheduled Jan 10 - Mar 31, 2025.","070","2","RIV-JEAN-ANTBR","Jeans Rivet","Antique Brass Finish, 9mm Diameter","Pocket Corners","PCS","6.00","Percentage","2","6.120","Required","Sew-10","4 front, 2 coin pocket, incl. spares"
"JEANS-STR-MEDW-005-REVB","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","B","2025-01-10","2025-03-31","Obsolete","Standard annual BoM update, initial for 2025.","Production Team","2025-01-08","Head of Merchandising","2025-01-10","[Links...]","Used for production orders scheduled Jan 10 - Mar 31, 2025.","080","2","LBL-MAIN-WOVEN","Woven Brand Label","[Brand Logo], 40x50 mm, Center Fold","Inside Back Neck","PCS","1.00","Percentage","1","1.010","Required","Sew-25","Sewn into waistband center back"
"JEANS-STR-MEDW-005-REVB","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","B","2025-01-10","2025-03-31","Obsolete","Standard annual BoM update, initial for 2025.","Production Team","2025-01-08","Head of Merchandising","2025-01-10","[Links...]","Used for production orders scheduled Jan 10 - Mar 31, 2025.","090","2","LBL-CARE-PRINT","Printed Care/Content Label","Poly Satin, 50x70 mm, Multi-language, [Country of Origin]","Inside Side Seam","PCS","1.00","Percentage","1","1.010","Required","Sew-26","Sewn into side seam"
"JEANS-STR-MEDW-005-REVB","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","B","2025-01-10","2025-03-31","Obsolete","Standard annual BoM update, initial for 2025.","Production Team","2025-01-08","Head of Merchandising","2025-01-10","[Links...]","Used for production orders scheduled Jan 10 - Mar 31, 2025.","100","2","PCH-SYNTH","Synthetic Leather Patch","[Size]x[Size] mm, Heat Embossed Logo, Brown Synthetic","Back Waistband Patch","PCS","1.00","Percentage","1","1.010","Required","Sew-30","Applied to back waistband"
"JEANS-STR-MEDW-005-REVB","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","B","2025-01-10","2025-03-31","Obsolete","Standard annual BoM update, initial for 2025.","Production Team","2025-01-08","Head of Merchandising","2025-01-10","[Links...]","Used for production orders scheduled Jan 10 - Mar 31, 2025.","110","2","TAG-HANG-STD","Hang Tag w/ String & Seal","Cardstock, Standard Shape, Printed Logo & Style Info","Back Neck Loop","PCS","1.00","Percentage","0","1.000","Required","Finish-05","Retail presentation tag"
"JEANS-STR-MEDW-005-REVB","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","B","2025-01-10","2025-03-31","Obsolete","Standard annual BoM update, initial for 2025.","Production Team","2025-01-08","Head of Merchandising","2025-01-10","[Links...]","Used for production orders scheduled Jan 10 - Mar 31, 2025.","120","2","BAG-POLY-UNIT","Individual Polybag","Clear, 12x15 inch, Adhesive Closure, Suffocation Warning","Packaging","PCS","1.00","Percentage","0","1.000","Required","Pack-01","Single unit bagging"
"JEANS-STR-MEDW-005-REVB","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","B","2025-01-10","2025-03-31","Obsolete","Standard annual BoM update, initial for 2025.","Production Team","2025-01-08","Head of Merchandising","2025-01-10","[Links...]","Used for production orders scheduled Jan 10 - Mar 31, 2025.","130","2","CRT-SHIPPING-24PK","Shipping Carton (Prorated)","Corrugated, Holds 24 PCS (Avg cost prorated per jean)","Packaging","PCS","0.0417","Percentage","0","0.0417","Required","Pack-02","Carton cost per unit (24 units/carton)"
"JEANS-STR-MEDW-005-REVC","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","C","2025-04-01","","Active","Updated material costs based on Q2 supplier price lists. Minor adjustment to fabric loss %.","Production Team","2025-03-28","Head of Merchandising","2025-03-31","[Links...]","Used for production orders scheduled from April 1, 2025, onwards. Reflects Q2 pricing.","010","2","FAB-DENIM-A-010","13oz Cone Mill Denim","100% Cotton, 3x1 RHT, 34"" Width, Indigo, Sanforized","Body, Legs, Pockets, Waistband","YDS","1.95","Percentage","11","2.165","Required","Cut-01","Avg marker usage for size run + improved waste"
"JEANS-STR-MEDW-005-REVC","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","C","2025-04-01","","Active","Updated material costs based on Q2 supplier price lists. Minor adjustment to fabric loss %.","Production Team","2025-03-28","Head of Merchandising","2025-03-31","[Links...]","Used for production orders scheduled from April 1, 2025, onwards. Reflects Q2 pricing.","020","2","THD-SPUN-NAVY","Navy Spun Poly Thread","Tex 30, 100% Spun Poly, 6000 Yds/Cone, Color Match: Pantone 19-4010 TPX","All Seams","YDS","140","Percentage","3","144.200","Required","Various","Seaming thread"
"JEANS-STR-MEDW-005-REVC","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","C","2025-04-01","","Active","Updated material costs based on Q2 supplier price lists. Minor adjustment to fabric loss %.","Production Team","2025-03-28","Head of Merchandising","2025-03-31","[Links...]","Used for production orders scheduled from April 1, 2025, onwards. Reflects Q2 pricing.","030","2","THD-TST-TAN","Tan Topstitch Thread","Tex 60, 3000 Yds/Cone, Color Match: Pantone 16-1342 TPX","Topstitching, Details","YDS","70","Percentage","4","72.800","Required","Various","Decorative/Topstitching"
"JEANS-STR-MEDW-005-REVC","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","C","2025-04-01","","Active","Updated material costs based on Q2 supplier price lists. Minor adjustment to fabric loss %.","Production Team","2025-03-28","Head of Merchandising","2025-03-31","[Links...]","Used for production orders scheduled from April 1, 2025, onwards. Reflects Q2 pricing.","040","2","INL-WST-POLY","Waistband Interlining","Woven Fusible, 2.25"" Width, 100% Poly","Waistband","YDS","0.95","Percentage","6","1.007","Required","Sew-15","Provides waistband stability"
"JEANS-STR-MEDW-005-REVC","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","C","2025-04-01","","Active","Updated material costs based on Q2 supplier price lists. Minor adjustment to fabric loss %.","Production Team","2025-03-28","Head of Merchandising","2025-03-31","[Links...]","Used for production orders scheduled from April 1, 2025, onwards. Reflects Q2 pricing.","050","2","ZIP-AUTO-ANTBR","Auto-Lock Metal Zipper","Antique Brass Finish, 7"" Length, YKK Equivalent","Fly","PCS","1.00","Percentage","1","1.010","Required","Sew-05","Standard length for zip fly, incl. spares"
"JEANS-STR-MEDW-005-REVC","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","C","2025-04-01","","Active","Updated material costs based on Q2 supplier price lists. Minor adjustment to fabric loss %.","Production Team","2025-03-28","Head of Merchandising","2025-03-31","[Links...]","Used for production orders scheduled from April 1, 2025, onwards. Reflects Q2 pricing.","060","2","BTN-POST-ANTBR","Post Button (Waist)","Antique Brass Finish, 18mm Diameter, Plain","Waistband","PCS","1.00","Percentage","2","1.020","Required","Sew-20","Main waistband closure, incl. spares"
"JEANS-STR-MEDW-005-REVC","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","C","2025-04-01","","Active","Updated material costs based on Q2 supplier price lists. Minor adjustment to fabric loss %.","Production Team","2025-03-28","Head of Merchandising","2025-03-31","[Links...]","Used for production orders scheduled from April 1, 2025, onwards. Reflects Q2 pricing.","070","2","RIV-JEAN-ANTBR","Jeans Rivet","Antique Brass Finish, 9mm Diameter","Pocket Corners","PCS","6.00","Percentage","2","6.120","Required","Sew-10","4 front, 2 coin pocket, incl. spares"
"JEANS-STR-MEDW-005-REVC","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","C","2025-04-01","","Active","Updated material costs based on Q2 supplier price lists. Minor adjustment to fabric loss %.","Production Team","2025-03-28","Head of Merchandising","2025-03-31","[Links...]","Used for production orders scheduled from April 1, 2025, onwards. Reflects Q2 pricing.","080","2","LBL-MAIN-WOVEN","Woven Brand Label","[Brand Logo], 40x50 mm, Center Fold","Inside Back Neck","PCS","1.00","Percentage","1","1.010","Required","Sew-25","Sewn into waistband center back"
"JEANS-STR-MEDW-005-REVC","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","C","2025-04-01","","Active","Updated material costs based on Q2 supplier price lists. Minor adjustment to fabric loss %.","Production Team","2025-03-28","Head of Merchandising","2025-03-31","[Links...]","Used for production orders scheduled from April 1, 2025, onwards. Reflects Q2 pricing.","090","2","LBL-CARE-PRINT","Printed Care/Content Label","Poly Satin, 50x70 mm, Multi-language, [Country of Origin]","Inside Side Seam","PCS","1.00","Percentage","1","1.010","Required","Sew-26","Sewn into side seam"
"JEANS-STR-MEDW-005-REVC","JEANS-STR-MEDW-005","Men's Classic Straight Fit Jeans, Medium Blue Wash","#505","Classic Straight","13oz Cone Mill Denim","Medium Enzyme Wash","Waist 30-40, Inseam 30-34","C","2025-04-01","","Active","Updated material costs based on Q2 supplier price lists. Minor adjustment to fabric loss %.","Production Team","2025-03-28","Head of Merchandising","2025-03-31","[Links...]","Used for production orders scheduled from April 1, 2025, onwards. Reflects Q2 pricing.","100","2","PCH-SYNTH","Synthetic Leather Patch","[Size]x[Size] mm, Heat Embossed Logo, Brown Synthetic","Back Waistband Patch","PCS","1.00","Percentage","1","1.010","Required","Sew-30","Applied to back waistband"
